episode,timestep,reward
1,400,-2.5952
3,800,-2.3951
5,1200,-2.658
7,1600,-2.664
9,2000,-2.4697
11,2400,-2.4774
13,2800,-2.5206
15,3200,-2.2716
17,3600,-2.6472
19,4000,-2.1341
21,4400,-2.5069
23,4800,-2.3157
25,5200,-2.5741
27,5600,-2.3291
29,6000,-2.4386
31,6400,-2.5013
33,6800,-2.3007
35,7200,-2.2581
37,7600,-2.3633
39,8000,-2.4754
41,8400,-2.3391
43,8800,-2.3443
45,9200,-2.3672
47,9600,-2.4653
49,10000,-2.438
51,10400,-2.5742
53,10800,-2.5628
55,11200,-2.5128
57,11600,-2.5283
59,12000,-2.2623
61,12400,-2.4905
63,12800,-2.3517
65,13200,-2.6425
67,13600,-2.5392
69,14000,-2.2892
71,14400,-2.4916
73,14800,-2.6431
75,15200,-2.4419
77,15600,-2.4631
79,16000,-2.466
81,16400,-2.4827
83,16800,-2.5666
85,17200,-2.4596
87,17600,-2.4892
89,18000,-2.346
91,18400,-2.4084
93,18800,-2.7434
95,19200,-2.5019
97,19600,-2.5024
99,20000,-2.6052
101,20400,-2.4476
103,20800,-2.3659
105,21200,-2.5982
107,21600,-2.3726
109,22000,-2.4094
111,22400,-2.5557
113,22800,-2.6146
115,23200,-2.4618
117,23600,-2.2944
119,24000,-2.4912
