episode,timestep,reward
1,450,-2.2857
3,900,-2.3229
6,1800,-2.5149
8,2250,-2.6483
9,2700,-3.068
11,3150,-2.8727
13,3600,-2.8184
14,4050,-2.8155
16,4500,-2.8384
19,5400,-2.4354
21,5850,-2.4655
24,6750,-2.5812
26,7200,-2.7938
27,7650,-2.2475
29,8100,-2.6079
31,8550,-2.6637
32,9000,-2.0843
34,9450,-2.5345
37,10350,-2.6792
39,10800,-2.9243
42,11700,-2.1895
44,12150,-2.724
45,12600,-2.4807
47,13050,-2.6496
49,13500,-2.7787
50,13950,-3.0812
52,14400,-2.3929
55,15300,-2.1497
57,15750,-2.3596
60,16650,-2.7615
62,17100,-2.9285
63,17550,-1.9575
65,18000,-2.3378
67,18450,-2.879
68,18900,-2.7012
70,19350,-2.7689
73,20250,-2.7043
75,20700,-2.5619
78,21600,-2.4058
80,22050,-2.5381
81,22500,-2.8088
83,22950,-2.9039
85,23400,-2.6533
86,23850,-2.9278
88,24300,-2.8948
91,25200,-2.5379
93,25650,-3.0192
96,26550,-2.6323
98,27000,-2.9749
99,27450,-2.8202
101,27900,-2.1038
103,28350,-1.9705
104,28800,-2.8636
106,29250,-2.9792
109,30150,-2.8754
111,30600,-2.8373
114,31500,-2.9707
116,31950,-2.5352
117,32400,-2.8067
119,32850,-2.3413
121,33300,-2.2654
122,33750,-2.3609
124,34200,-2.6879
127,35100,-2.0927
129,35550,-2.4838
132,36450,-2.7153
134,36900,-2.2267
135,37350,-2.0007
137,37800,-2.5594
139,38250,-2.7915
140,38700,-3.1386
142,39150,-2.7298
145,40050,-2.5977
147,40500,-2.7685
150,41400,-2.8382
152,41850,-2.7617
153,42300,-2.6651
155,42750,-2.7505
157,43200,-2.5395
158,43650,-2.8525
160,44100,-2.0755
163,45000,-2.5949
165,45450,-2.5574
168,46350,-2.7218
170,46800,-2.929
171,47250,-2.741
173,47700,-2.5897
175,48150,-2.8408
176,48600,-2.8987
178,49050,-2.7424
181,49950,-2.3146
183,50400,-2.3643
186,51300,-3.1045
188,51750,-2.9031
189,52200,-2.6333
191,52650,-2.9577
193,53100,-2.5632
194,53550,-2.7677
196,54000,-3.0868
199,54900,-2.6014
201,55350,-2.1681
204,56250,-2.5013
206,56700,-2.3187
207,57150,-2.8037
209,57600,-2.7541
211,58050,-2.5885
212,58500,-1.9575
214,58950,-2.2155
217,59850,-2.6488
219,60300,-2.8018
222,61200,-2.6629
224,61650,-2.3695
225,62100,-2.2801
227,62550,-2.0271
229,63000,-2.6541
230,63450,-2.572
232,63900,-2.669
235,64800,-2.8897
237,65250,-2.9225
