episode,timestep,reward
1,400,-2.6781
3,800,-2.4349
5,1200,-2.7563
7,1600,-2.588
9,2000,-2.6089
11,2400,-2.6207
13,2800,-2.5208
15,3200,-2.4256
17,3600,-2.2363
19,4000,-2.4518
21,4400,-2.5435
23,4800,-2.3664
25,5200,-2.4108
27,5600,-2.5109
29,6000,-2.3791
31,6400,-2.516
33,6800,-2.484
35,7200,-2.4885
37,7600,-2.3396
39,8000,-2.554
41,8400,-2.6784
43,8800,-2.5503
45,9200,-2.4909
47,9600,-2.3128
49,10000,-2.325
51,10400,-2.5651
53,10800,-2.5408
55,11200,-2.4175
57,11600,-2.5673
59,12000,-2.6229
61,12400,-2.4204
63,12800,-2.2693
65,13200,-2.6254
67,13600,-2.5168
69,14000,-2.4745
71,14400,-2.5785
73,14800,-2.4143
75,15200,-2.5526
77,15600,-2.4189
79,16000,-2.4142
81,16400,-2.3227
83,16800,-2.3928
85,17200,-2.5531
87,17600,-2.6877
89,18000,-2.491
91,18400,-2.6162
93,18800,-2.3615
95,19200,-2.4146
97,19600,-2.6246
99,20000,-2.4454
101,20400,-2.4364
103,20800,-2.4667
105,21200,-2.4315
107,21600,-2.4578
109,22000,-2.5059
111,22400,-2.401
113,22800,-2.7206
115,23200,-2.4788
117,23600,-2.3343
119,24000,-2.4941
121,24400,-2.536
123,24800,-2.3737
125,25200,-2.6079
127,25600,-2.524
129,26000,-2.4968
131,26400,-2.2147
133,26800,-2.5365
135,27200,-2.4971
137,27600,-2.4383
139,28000,-2.1679
141,28400,-2.613
143,28800,-2.6348
145,29200,-2.4316
147,29600,-2.5312
149,30000,-2.4378
151,30400,-2.6809
153,30800,-2.6127
155,31200,-2.5608
157,31600,-2.4464
159,32000,-2.549
161,32400,-2.507
163,32800,-2.5885
165,33200,-2.3516
167,33600,-2.5104
169,34000,-2.4935
171,34400,-2.6654
173,34800,-2.5216
175,35200,-2.3416
177,35600,-2.5263
179,36000,-2.4436
181,36400,-2.6159
183,36800,-2.4109
185,37200,-2.5797
187,37600,-2.2972
189,38000,-2.169
191,38400,-2.374
193,38800,-2.2565
195,39200,-2.3014
197,39600,-2.2923
199,40000,-2.707
201,40400,-2.4329
203,40800,-2.5532
205,41200,-2.5274
207,41600,-2.3998
209,42000,-2.5491
211,42400,-2.3655
213,42800,-2.589
215,43200,-2.3416
217,43600,-2.352
219,44000,-2.4883
221,44400,-2.4739
223,44800,-2.5253
225,45200,-2.2909
227,45600,-2.5579
229,46000,-2.4593
231,46400,-2.5244
233,46800,-2.4516
235,47200,-2.5148
237,47600,-2.3792
239,48000,-2.4771
241,48400,-2.3456
243,48800,-2.5029
245,49200,-2.5591
247,49600,-2.3126
249,50000,-2.4921
251,50400,-2.4831
253,50800,-2.4305
255,51200,-2.503
257,51600,-2.3248
259,52000,-2.3757
261,52400,-2.5866
263,52800,-2.6213
265,53200,-2.523
267,53600,-2.6187
269,54000,-2.3768
271,54400,-2.3452
273,54800,-2.5413
275,55200,-2.5343
277,55600,-2.4943
279,56000,-2.4562
281,56400,-2.5251
283,56800,-2.5191
285,57200,-2.4878
287,57600,-2.2649
289,58000,-2.4626
291,58400,-2.4513
293,58800,-2.4902
295,59200,-2.619
297,59600,-2.5697
299,60000,-2.3148
301,60400,-2.5392
303,60800,-2.4006
305,61200,-2.4885
307,61600,-2.5259
309,62000,-2.3239
311,62400,-2.6302
313,62800,-2.2737
315,63200,-2.5597
317,63600,-2.3695
319,64000,-2.3828
321,64400,-2.5255
323,64800,-2.5275
325,65200,-2.5147
327,65600,-2.3767
329,66000,-2.5783
331,66400,-2.3407
333,66800,-2.5684
335,67200,-2.4887
337,67600,-2.3603
339,68000,-2.4783
341,68400,-2.6179
343,68800,-2.3251
345,69200,-2.4047
347,69600,-2.6285
349,70000,-2.6711
351,70400,-2.7705
353,70800,-2.2433
355,71200,-2.3519
357,71600,-2.5733
359,72000,-2.7124
361,72400,-2.4247
363,72800,-2.3251
365,73200,-2.702
367,73600,-2.675
369,74000,-2.6641
371,74400,-2.7579
373,74800,-2.3702
375,75200,-2.5113
377,75600,-2.6232
379,76000,-2.5634
381,76400,-2.5346
383,76800,-2.2874
385,77200,-2.3536
387,77600,-2.3121
389,78000,-2.4893
391,78400,-2.589
393,78800,-2.5136
395,79200,-2.3756
397,79600,-2.4777
399,80000,-2.1301
401,80400,-2.4081
403,80800,-2.356
405,81200,-2.6605
407,81600,-2.4874
409,82000,-2.4044
411,82400,-2.5411
413,82800,-2.6202
415,83200,-2.5321
417,83600,-2.5553
419,84000,-2.6128
421,84400,-2.3756
423,84800,-2.3976
425,85200,-2.4773
427,85600,-2.4868
429,86000,-2.5376
431,86400,-2.6094
433,86800,-2.6399
435,87200,-2.3723
437,87600,-2.542
439,88000,-2.663
441,88400,-2.5757
443,88800,-2.5258
445,89200,-2.3868
447,89600,-2.4729
449,90000,-2.5507
451,90400,-2.4794
453,90800,-2.4376
455,91200,-2.5315
457,91600,-2.6072
459,92000,-2.4409
461,92400,-2.4607
463,92800,-2.4758
465,93200,-2.3836
467,93600,-2.3731
469,94000,-2.2101
471,94400,-2.3631
473,94800,-2.3444
475,95200,-2.3523
477,95600,-2.2263
479,96000,-2.341
481,96400,-2.3914
483,96800,-2.4017
485,97200,-2.3309
487,97600,-2.3043
489,98000,-2.5961
491,98400,-2.5127
493,98800,-2.5877
495,99200,-2.4553
497,99600,-2.421
499,100000,-2.5818
